DATE,TIME,AM/PM,DATA
7/4/2019,5:00:00,AM,14.78
7/4/2019,5:15:00,AM,13.56
7/4/2019,5:30:00,AM,15.7
7/4/2019,5:45:00,AM,45.79
7/4/2019,6:00:00,AM,1.45
7/4/2019,6:15:00,AM,0.59
7/4/2019,6:30:00,AM,0.63
7/4/2019,6:45:00,AM,0.57
7/4/2019,7:00:00,AM,101.37
7/4/2019,7:15:00,AM,65.26
7/4/2019,7:30:00,AM,14.42
7/4/2019,7:45:00,AM,15.43
7/4/2019,8:00:00,AM,15.04
7/4/2019,8:15:00,AM,15.32
7/4/2019,8:30:00,AM,15.61
7/4/2019,8:45:00,AM,15.64
7/4/2019,9:00:00,AM,14.93
7/4/2019,9:15:00,AM,14.83
7/4/2019,9:30:00,AM,15.95
7/4/2019,9:45:00,AM,14.32
7/4/2019,10:00:00,AM,15.5
7/4/2019,10:15:00,AM,15.45
7/4/2019,10:30:00,AM,15.53
7/4/2019,10:45:00,AM,15.55
7/4/2019,11:00:00,AM,16.02
7/4/2019,11:15:00,AM,15.55
7/4/2019,11:30:00,AM,15.03
7/4/2019,11:45:00,AM,15.49
7/4/2019,12:00:00,PM,15.71
7/4/2019,12:15:00,PM,15.91
7/4/2019,12:30:00,PM,16.19
7/4/2019,12:45:00,PM,16.59
7/4/2019,1:00:00,PM,16.59
7/4/2019,1:15:00,PM,15.51
7/4/2019,1:30:00,PM,15.98
7/4/2019,1:45:00,PM,15.51
7/4/2019,2:00:00,PM,16.77
7/4/2019,2:15:00,PM,18.64
7/4/2019,2:30:00,PM,16.93
7/4/2019,2:45:00,PM,18.35
7/4/2019,3:00:00,PM,23.05
7/4/2019,3:15:00,PM,16.96
7/4/2019,3:30:00,PM,16.38
7/4/2019,3:45:00,PM,22.47
7/4/2019,4:00:00,PM,23.6
7/4/2019,4:15:00,PM,18.85
7/4/2019,4:30:00,PM,19.76
7/4/2019,4:45:00,PM,18.07
7/4/2019,5:00:00,PM,25.14
7/4/2019,5:15:00,PM,19.78
7/4/2019,5:30:00,PM,18.66
7/4/2019,5:45:00,PM,17.72
7/4/2019,6:00:00,PM,16.96
7/4/2019,6:15:00,PM,17.83
7/4/2019,6:30:00,PM,21.27
7/4/2019,6:45:00,PM,18.12
7/4/2019,7:00:00,PM,17.23
7/4/2019,7:15:00,PM,17.18
7/4/2019,7:30:00,PM,25.18
7/4/2019,7:45:00,PM,17.29
7/4/2019,8:00:00,PM,18.04
7/4/2019,8:15:00,PM,17.81
7/4/2019,8:30:00,PM,17.48
7/4/2019,8:45:00,PM,19.19
7/4/2019,9:00:00,PM,18.43
7/4/2019,9:15:00,PM,18.91
7/4/2019,9:30:00,PM,19.97
7/4/2019,9:45:00,PM,18.82
7/4/2019,10:00:00,PM,17.47
7/4/2019,10:15:00,PM,20.15
7/4/2019,10:30:00,PM,19.39
7/4/2019,10:45:00,PM,20.1
7/4/2019,11:00:00,PM,18.58
7/4/2019,11:15:00,PM,20.13
7/4/2019,11:30:00,PM,19.9
7/4/2019,11:45:00,PM,18.44
7/5/2019,12:00:00,AM,18.99
7/5/2019,12:15:00,AM,15.98
7/5/2019,12:30:00,AM,18.4
7/5/2019,12:45:00,AM,18.23
7/5/2019,1:00:00,AM,21.24
7/5/2019,1:15:00,AM,19.18
7/5/2019,1:30:00,AM,21.28
7/5/2019,1:45:00,AM,18.87
7/5/2019,2:00:00,AM,18.67
7/5/2019,2:15:00,AM,19.31
7/5/2019,2:30:00,AM,19.48
7/5/2019,2:45:00,AM,19.49
7/5/2019,3:00:00,AM,17.57
7/5/2019,3:15:00,AM,19.57
7/5/2019,3:30:00,AM,18.36
7/5/2019,3:45:00,AM,19.35
7/5/2019,4:00:00,AM,15.26
7/5/2019,4:15:00,AM,14.94
7/5/2019,4:30:00,AM,15.69
7/5/2019,4:45:00,AM,15.93
7/5/2019,5:00:00,AM,15.4
7/5/2019,5:15:00,AM,14.48
7/5/2019,5:30:00,AM,24.98
7/5/2019,5:45:00,AM,37.29
7/5/2019,6:00:00,AM,16.65
7/5/2019,6:15:00,AM,0.7
7/5/2019,6:30:00,AM,0.7
7/5/2019,6:45:00,AM,0.73
7/5/2019,7:00:00,AM,123.32
7/5/2019,7:15:00,AM,80.08
7/5/2019,7:30:00,AM,19.77
7/5/2019,7:45:00,AM,19.97
7/5/2019,8:00:00,AM,19.09
7/5/2019,8:15:00,AM,19.56
7/5/2019,8:30:00,AM,20.26
7/5/2019,8:45:00,AM,20.24
7/5/2019,9:00:00,AM,17.44
7/5/2019,9:15:00,AM,19.34
7/5/2019,9:30:00,AM,18.25
7/5/2019,9:45:00,AM,19.03
7/5/2019,10:00:00,AM,18.25
7/5/2019,10:15:00,AM,18.57
7/5/2019,10:30:00,AM,19.07
7/5/2019,10:45:00,AM,18.98
7/5/2019,11:00:00,AM,18.52
7/5/2019,11:15:00,AM,19.06
7/5/2019,11:30:00,AM,18.54
7/5/2019,11:45:00,AM,18.6
7/5/2019,12:00:00,PM,18.64
7/5/2019,12:15:00,PM,19.17
7/5/2019,12:30:00,PM,19.03
7/5/2019,12:45:00,PM,17.97
7/5/2019,1:00:00,PM,17.79
7/5/2019,1:15:00,PM,18.11
7/5/2019,1:30:00,PM,17.59
7/5/2019,1:45:00,PM,16.35
7/5/2019,2:00:00,PM,17.46
7/5/2019,2:15:00,PM,21.89
7/5/2019,2:30:00,PM,19.09
7/5/2019,2:45:00,PM,19.59
7/5/2019,3:00:00,PM,18.22
7/5/2019,3:15:00,PM,17.36
7/5/2019,3:30:00,PM,17.55
7/5/2019,3:45:00,PM,18.55
